Notification regarding document verification for the students admitted in 3rd Admission List,View
3rd Admission List [Students can get admission by paying the required fees on and from 05.09.2018 to 07.09.2018],View
"Schedule Regarding Third Admission List for ongoing Admission in P.G. Courses, 2018-19",View
Notification regarding Attendance Criteria for the newly admitted students,View
Notification regarding document verification for the students admitted in 2nd Admission List,View
Notification regarding commencement of Classes & Document Verification of the affiliated colleges,View
2nd Admission List [Students can get admission by paying the required fees on and from 23.08.2018 to 25.08.2018 otherwise may select for * up-gradation],View
Notification regarding commencement of classes & Document Verification,View
"Schedule Regarding Second Admission List for ongoing Admission in P.G. Courses, 2018-19",View
1st Admission List [Students can get admission by paying the required fees on and from 13.08.2018 to 14.08.2018 otherwise may select for *up-gradation] *Up-gradation: Applicable for only those students who are not willing to get admission as per the Admission List. A candidate may wait for up-gradation to get admission in the University/Institute as per seat available in their best possible choice but on their own risk; means it will depend on the availability of seats,View
Choice of Preference,Closed
Revised Fees Structure,View
Notification regarding Choice of Preference,View
Notification regarding P.G. Courses in Panchmura Mahavidyalaya,View
Online Registration Process,Closed
"Information Booklet for P.G. Admission, 2018-19",Click Here for Details
