Sl. No,Title
1,Sanskrit (B.A. General) (6th Sem)
2,Sanskrit (B.A. General) (5th Sem)
3,Physiology ( B.Sc. General) (6th Sem)
4,Physiology ( B.Sc. General) (5th Sem)
5,Sanskrit (B.A. Hons.) (6th Sem)
6,Sanskrit (B.A. Hons.) (5th Sem)
7,Bengali ( B.A. General) (6th Sem)
8,Bengali ( B.A. General) (5th Sem)
9,Military Science ( B.Sc. General) (4th Sem)
10,Industrial Chemistry(MAJOR) Sem IV
11,NCC (B.Sc. General) (4th Sem) - Revised
12,NSS (B.Sc. General) (4th Sem)
13,Disaster Management ( B.Sc. General) (4th Sem)
14,Defense Studies ( B.Sc. General) (4th Sem)
15,Agro Service (MAJOR) (4th Sem)
16,Automobile Maintenance (Major) (4th Sem)
17,Industrial Fish and Fisheries (MAJOR) (4th Sem)
18,Tourism & Travel Management (Major) (4th Sem)
19,Physiology (B.Sc. Hons.) (6th Sem)
20,Nutrition (B.Sc. Hons.) (6th Sem)
21,Electronics (B.Sc. Hons.) (6th Sem) - Revised
22,Computer Science (B.Sc. Hons.) (6th Sem)
23,Sanskrit ( B.A. General) (4th Sem)
24,Sanskrit (B.A. Hons.) (4th Sem)
25,Physics (B.Sc. Hons.) (6th Sem) - Revised
26,Geology (B.Sc. Hons.) (6th Sem)
27,Chemistry (B.Sc. Hons.) (6th Sem)
28,Zoology (B.Sc. Hons.) (6th Sem)
29,Physiology ( B.Sc. General) (4th Sem)
30,Bengali ( B.A. General) (4th Sem)
31,BBA in Hospital Management (SEM-I)
32,BBA (Sem - 1)
33,Library & Information Studies (B.A. Hons.) (3rd Sem)
34,Office Management and Secretarial Practice (MAJOR) (3rd Sem)
35,Disaster Management ( B.Sc. General) (3rd Sem)
36,Defense Studies ( B.A. General) (3rd Sem)
37,Military Science ( B.A. General) (3rd Sem)
38,NSS ( B.A. General) (3rd Sem)
39,NCC ( B.A. General) (3rd Sem)
40,Defense Studies ( B.Sc. General) (3rd Sem)
41,NSS (B.Sc. General) (3rd Sem)
42,NCC (B.Sc. General) (3rd Sem)
43,Industrial Fish and Fisheries (MAJOR) (3rd Sem)
44,Industrial Chemistry(MAJOR) Sem III
45,Military Science ( B.Sc. General) (3rd Sem)
46,Agro Service (MAJOR) (3rd Sem)
47,Sanskrit (B.A. Hons.) (3rd Sem)
48,Sanskrit ( B.A. General) (3rd Sem)
49,Automobile Maintenance (Major) (3rd Sem)
50,Tourism & Travel Management (Major) (3rd Sem)
51,Physiology (B.Sc. Hons.) (5th Sem)
52,Bengali ( B.A. General) (3rd Sem)
53,Physiology ( B.Sc. General) (3rd Sem)
54,Geology (B.Sc. Hons.) (5th Sem)
55,Computer Science (B.Sc. Hons.) (5th Sem)
